msa_code,msa_title,year,total_strategic_employment,msa_total_employment,ses_raw,sc_raw,fragility_raw,ses_pct,sc_pct,fragility_pct,sri
C2112,"Elk City, OK MicroSA",2024,3120.0,19894.0,0.15683120538855935,0.15683120538855935,0.15408500102392345,99.14346895074947,99.67880085653104,2.569593147751606,67.13062098501071
C4814,"Wausau, WI MSA",2024,1290.0,141252.0,0.009132614051482456,0.003061903548268343,0.15456015427260295,40.149892933618844,20.556745182012847,2.676659528907923,21.127765881513206
C3326,"Midland, TX MSA",2024,16598.0,241332.0,0.06877662307526561,0.06670893209354747,0.15475386683727832,93.6830835117773,97.64453961456103,2.7837259100642395,64.7037830121342
C4778,"Washington, IN MicroSA",2024,185.0,26506.0,0.0069795517995925455,0.00305591186901079,0.1550591086117397,31.798715203426127,20.449678800856532,2.890792291220557,18.379728765167737
C2834,"Kendallville, IN MicroSA",2024,6913.0,33628.0,0.20557273700487688,0.09944094207208279,0.15561682269165183,99.67880085653104,98.92933618843684,2.9978586723768736,67.20199857244825
C4962,"York-Hanover, PA MSA",2024,21374.0,365228.0,0.058522347684186314,0.019678118873689858,0.15585043468431575,91.97002141327623,82.11991434689507,3.1049250535331905,59.06495360456816
C3418,"Moses Lake, WA MicroSA",2024,3627.0,86316.0,0.04202001946336716,0.034756012790212704,0.15631294104087684,85.54603854389723,92.07708779443254,3.2119914346895073,60.27837259100642
C2454,"Greeley, CO MSA",2024,6378.0,237654.0,0.026837334949127725,0.016755451202167856,0.15720414953843734,73.66167023554604,78.05139186295503,3.3190578158458246,51.6773733047823
C4302,"Shawano, WI MicroSA",2024,57.0,28691.0,0.001986685720260709,0.001986685720260709,0.15790094266973886,11.45610278372591,13.49036402569593,3.4261241970021414,9.457530335474662
C2254,"Fond du Lac, WI MSA",2024,32.0,90093.0,3.5518852741056465E-4,3.5518852741056465E-4,0.1584021949906636,5.995717344753747,5.995717344753747,3.5331905781584587,5.174875089221985
C4730,"Visalia, CA MSA",2024,2941.0,355314.0,0.008277185813111782,0.004989952549012986,0.1589506492939373,36.723768736616705,32.54817987152035,3.640256959314775,24.30406852248394
C4338,"Sidney, OH MicroSA",2024,6092.0,53285.0,0.11432861030308718,0.043764661724688,0.15904014747823647,97.53747323340471,94.86081370449678,3.747323340471092,65.38187009279086
C4150,"Salinas, CA MSA",2024,2943.0,400488.0,0.007348534787559178,0.004162421845348674,0.159401274927994,32.97644539614561,28.586723768736615,3.854389721627409,21.80585296216988
C3274,"Meadville, PA MicroSA",2024,119.0,57741.0,0.0020609272440726694,0.0020609272440726694,0.16000412574422784,11.777301927194861,13.81156316916488,3.961456102783726,9.850107066381154
C1314,"Beaumont-Port Arthur, TX MSA",2024,40783.0,322833.0,0.12632847323538796,0.06651426588979441,0.16007258811333183,97.96573875802997,97.53747323340471,4.068522483940043,66.52391149179158
C1442,"Borger, TX MicroSA",2024,517.0,15292.0,0.033808527334554014,0.0291001831022757,0.16007590198391916,79.87152034261243,89.29336188436831,4.17558886509636,57.78015703069237
C3678,"Oshkosh-Neenah, WI MSA",2024,4920.0,187112.0,0.02629441190303134,0.010875839069648126,0.1602643899309904,73.12633832976445,61.02783725910065,4.282655246252676,46.145610278372594
C4126,"St. Marys, PA MicroSA",2024,563.0,26696.0,0.021089301768055138,0.010488462691039856,0.16059190234957343,68.09421841541756,59.20770877944326,4.389721627408994,43.897216274089935
C2282,"Fort Morgan, CO MicroSA",2024,433.0,26213.0,0.016518521344371113,0.016518521344371113,0.16136085087516389,59.52890792291221,77.62312633832977,4.496788008565311,47.21627408993576
C1474,"Bremerton-Silverdale-Port Orchard, WA MSA",2024,61404.0,187143.0,0.32811272663150637,0.16224758607054499,0.16151418109455218,99.89293361884368,99.78586723768737,4.6038543897216275,68.09421841541756
C3490,"Napa, CA MSA",2024,441.0,160530.0,0.002747150065408335,0.002747150065408335,0.16161963398490634,15.417558886509635,18.094218415417558,4.710920770877944,12.740899357601714
C4374,"Somerset, PA MicroSA",2024,1714.0,46605.0,0.036777169831563136,0.015202231520223153,0.1619261559006037,81.79871520342613,73.87580299785867,4.817987152034261,53.497501784439685
C3594,"Norwalk, OH MicroSA",2024,470.0,42828.0,0.010974129074437284,0.0068646679742224714,0.16193899988749028,45.610278372591004,42.07708779443255,4.925053533190578,30.870806566738043
C1338,"Bellingham, WA MSA",2024,5169.0,186860.0,0.027662421063898105,0.01648292839559028,0.16218069914688485,74.83940042826552,77.51605995717344,5.032119914346895,52.46252676659529
C1298,"Battle Creek, MI MSA",2024,16506.0,101037.0,0.1633658956619852,0.08105941387808427,0.16244221100207049,99.25053533190578,98.60813704496788,5.139186295503212,67.66595289079228
C1750,"Clewiston, FL MicroSA",2024,63.0,28764.0,0.002190237797246558,0.0014253928521763316,0.16257238909117339,12.205567451820128,10.813704496788008,5.2462526766595285,9.421841541755889
C4366,"Snyder, TX MicroSA",2024,258.0,12782.0,0.02018463464246597,0.02018463464246597,0.16286607291387856,66.27408993576017,82.97644539614562,5.353319057815846,51.53461812990721
C1914,"Dalton, GA MSA",2024,2547.0,132162.0,0.019271802787488083,0.016230081263903393,0.163194181273895,64.98929336188436,76.98072805139186,5.460385438972163,49.14346895074947
C1254,"Bakersfield-Delano, CA MSA",2024,21861.0,695327.0,0.031439883680627966,0.017519814418252132,0.1635339842941576,78.58672376873662,78.69379014989293,5.567451820128479,54.282655246252666
C1014,"Aberdeen, WA MicroSA",2024,0.0,47633.0,0.0,0.0,0.16397200762250344,0.0,0.0,5.674518201284797,1.8915060670949322
C3842,"Platteville, WI MicroSA",2024,84.0,30583.0,0.002746623941405356,0.002746623941405356,0.16429230474693052,15.310492505353318,17.987152034261243,5.781584582441114,13.02640970735189
C2390,"Gettysburg, PA MSA",2024,404.0,66391.0,0.0060851621454715244,0.0033438267235016794,0.16469805684575664,28.693790149892934,22.91220556745182,5.8886509635974305,19.164882226980726
C1462,"Bradford, PA MicroSA",2024,719.0,27859.0,0.02580853584120033,0.02580853584120033,0.1648048703992571,72.80513918629549,87.79443254817987,5.995717344753747,55.53176302640971
C2434,"Grand Rapids-Wyoming-Kentwood, MI MSA",2024,81409.0,1169020.0,0.0696386717079263,0.021359343723802843,0.16541858562985337,93.89721627408993,84.58244111349036,6.102783725910064,61.52748037116345
C3226,"Marshalltown, IA MicroSA",2024,0.0,32084.0,0.0,0.0,0.16553117552895125,0.0,0.0,6.209850107066381,2.0699500356887937
C3974,"Reading, PA MSA",2024,15130.0,347384.0,0.043554107270340606,0.012656023305621445,0.16562468938542033,86.50963597430406,67.34475374732334,6.316916488222699,53.39043540328336
C2802,"Kalamazoo-Portage, MI MSA",2024,16170.0,241415.0,0.0669800965143011,0.04874179317772301,0.16571967501989232,93.04068522483941,95.82441113490364,6.423982869379015,65.0963597430407
C3742,"Pampa, TX MicroSA",2024,1637.0,15421.0,0.10615394591790416,0.06873743596394527,0.16572929263375902,97.00214132762312,98.17987152034262,6.5310492505353315,67.23768736616701
C1946,"Decatur, AL MSA",2024,10647.0,117341.0,0.0907355485294995,0.07673362251898314,0.16599755072216993,96.46680942184153,98.50107066381156,6.638115631691649,67.20199857244825
C1070,"Albertville, AL MicroSA",2024,4685.0,81623.0,0.05739803731791284,0.018977494088675984,0.16630606818330265,91.7558886509636,80.83511777301928,6.745182012847965,59.778729478943625
C4182,"Sanford, NC MicroSA",2024,3973.0,55348.0,0.07178217821782178,0.06966828069668281,0.16645606115676756,94.3254817987152,98.28693790149893,6.852248394004283,66.4882226980728
C2338,"Fremont, OH MicroSA",2024,5553.0,49872.0,0.11134504331087584,0.05291546358678216,0.16752516598181122,97.10920770877945,96.35974304068522,6.9593147751606,66.80942184154176
C1830,"Coos Bay-North Bend, OR MicroSA",2024,247.0,46256.0,0.005339847803528191,0.005339847803528191,0.16757134748670985,25.588865096359743,34.58244111349036,7.066381156316917,22.412562455389008
C1542,"Burley, ID MicroSA",2024,583.0,43466.0,0.013412782404638108,0.011480237426954401,0.16766784032986676,53.426124197002146,63.49036402569593,7.173447537473233,41.36331192005711
C3290,"Merced, CA MSA",2024,2416.0,169905.0,0.014219711014978959,0.011624142903387187,0.16768636810906384,55.0321199143469,64.02569593147751,7.28051391862955,42.11277658815133
C2602,"Hobbs, NM MicroSA",2024,4638.0,67540.0,0.06867041753035238,0.06867041753035238,0.1680544884947348,93.57601713062098,98.07280513918629,7.387580299785867,66.34546752319771
C4220,"Santa Maria-Santa Barbara, CA MSA",2024,20082.0,432646.0,0.04641670095181742,0.023739962925810015,0.16893862272556623,87.68736616702355,86.18843683083512,7.494646680942184,60.45681655960029
C2586,"Hickory-Lenoir-Morganton, NC MSA",2024,3346.0,305915.0,0.010937678766977755,0.006478923884085448,0.16900042232412676,45.50321199143469,40.57815845824411,7.601713062098502,31.227694503925765
C3474,"Muskegon-Norton Shores, MI MSA",2024,4492.0,126950.0,0.03538400945254037,0.012638834186687672,0.16900194147598865,81.15631691648822,67.23768736616702,7.708779443254818,52.03426124197003
C1154,"Appleton, WI MSA",2024,1686.0,249684.0,0.006752535204498486,0.003123948671120296,0.16992787356864755,31.156316916488226,21.413276231263385,7.815845824411134,20.128479657387583
